SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_2,EXT_SOURCE_3,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,AMT_REQ_CREDIT,HOUSING_SCORE,PREV_AVG_AC_RATIO,CNT_MISSED_MIN,CNT_PREV_LOANS,CNT_ACCEPTED_LOANS,SUM_OF_AMT_CREDIT_SUM_OVERDUE,SUM_OF_AMT_CREDIT_MAX_OVERDUE,SUM_OF_CREDIT_DAY_OVERDUE,SUM_OF_AMT_CREDIT_SUM,SUM_OF_STATUS
100196,0,1,F,0,1,164250.0,755190.0,32125.5,Unaccompanied,Working,Higher education,Married,House / apartment,0.018029,-11568,-2331,-1082.0,-824,middle,1,1,0,1,blue,2.0,3,TUESDAY,7,1,1,1,1,Construction,0.593340422792271,0.3031463744186309,0.0,0.0,-1606.0,1,3.0,0.0941515672276006,0.0,8,4.0,0.0,0.0,0,3021970.5,0.0
100224,0,1,F,0,1,225000.0,1256400.0,36864.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.0196889999999999,-14091,-5664,-8127.0,-2462,middle,1,1,0,1,other,4.0,2,TUESDAY,9,1,1,1,1,Business Entity Type 3,0.5986321123746743,0.3441550073724169,4.0,2.0,0.0,0,3.0,0.134825022587111,5.0,3,1.0,0.0,2693.16,0,5372852.76,0.0
100303,0,1,F,1,1,292500.0,254700.0,15709.5,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.016612,-24006,365243,-2239.0,-4447,no car,1,1,0,1,other,1.0,2,WEDNESDAY,10,1,1,1,1,XNA,0.2824903715892518,0.4101025731788671,1.0,0.0,-609.0,1,5.0,0.085971541298951,1.0,17,9.0,0.0,0.0,0,1561765.905,7.0
100462,0,1,M,1,0,111919.5,152820.0,7911.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.018209,-16395,-8001,-457.0,-4574,no car,0,1,1,1,blue,2.0,3,WEDNESDAY,11,1,1,1,1,Business Entity Type 2,0.4907584156938881,0.4650692149562261,1.0,0.0,-2463.0,0,4.0,0.1333995660614365,0.0,2,1.0,0.0,9003.42,0,1768379.22,0.0
100521,0,0,F,1,0,157500.0,225000.0,11250.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.0084739999999999,-20523,365243,-8472.0,-4043,no car,1,1,0,1,other,2.0,2,FRIDAY,13,1,1,1,1,XNA,0.5439567567369228,0.1261005588362325,0.0,0.0,-207.0,1,0.0,0.1144369511564174,0.0,7,5.0,0.0,2088.45,0,2268510.165,0.0
100522,0,1,F,0,1,180000.0,343683.0,20898.0,Accompanied,Working,Secondary / secondary special,Married,House / apartment,0.018801,-10933,-2309,-4757.0,-1777,new,1,1,0,1,other,3.0,2,TUESDAY,12,1,1,1,1,Business Entity Type 3,0.5331862806077896,0.3859146722745145,2.0,0.0,-150.0,0,5.0,0.1174119412507901,0.0,6,4.0,0.0,0.0,0,253201.5,0.0
100728,0,1,F,1,0,112500.0,555273.0,16366.5,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,With parents,0.030755,-17853,-3606,-6448.0,-1171,no car,1,1,0,1,blue,2.0,2,SATURDAY,14,1,1,1,1,Medicine,0.1596792335026377,0.524496446363472,4.0,0.0,-280.0,1,2.0,0.0729057602595677,2.0,10,5.0,0.0,0.0,0,225000.0,0.0
100929,0,1,F,1,1,81000.0,517500.0,25024.5,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.00823,-16037,-3021,-8206.0,-4166,no car,0,1,0,1,white,2.0,2,SATURDAY,12,1,1,1,1,Kindergarten,0.532859697703305,0.4866531565147181,2.0,0.0,-1284.0,1,2.0,0.0674493326580205,0.0,7,3.0,0.0,0.0,0,768082.5,0.0
101105,0,1,F,1,1,112500.0,157500.0,9171.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.018209,-10453,-805,-6451.0,-3118,no car,1,1,0,1,white,2.0,3,FRIDAY,9,1,1,1,1,Business Entity Type 3,0.4755406638212493,0.4956658291397297,0.0,0.0,-617.0,1,0.0,0.0412366289220116,1.0,4,3.0,0.0,0.0,0,820188.0,0.0
101388,0,1,F,1,0,135000.0,521280.0,28278.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.010276,-11513,-1437,-5994.0,-3139,no car,0,1,0,1,blue,2.0,2,SATURDAY,11,1,0,1,0,Insurance,0.2392156704605939,0.4188542886233217,0.0,0.0,-94.0,1,1.0,0.0956502351250836,0.0,4,1.0,0.0,0.0,0,3208500.0,0.0
102292,0,1,F,0,0,225000.0,1011285.0,32994.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.010966,-9912,-2100,-7958.0,-1528,young,1,1,0,1,white,3.0,2,WEDNESDAY,11,1,1,1,1,Business Entity Type 3,0.6616127527071396,0.0956927242302637,0.0,0.0,-685.0,1,4.0,0.1175501256974676,0.0,6,1.0,112.5,12946.5,6,235910.88,0.0
102666,0,1,F,1,1,103500.0,254700.0,24939.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.022625,-25007,-1438,-2696.0,-4705,no car,1,1,0,1,white,2.0,2,SATURDAY,15,1,1,1,1,Business Entity Type 3,0.0608285341901274,0.3376727217405312,0.0,0.0,-1334.0,1,7.0,0.1163685799593348,0.0,2,2.0,0.0,0.0,0,1287616.5,0.0
102882,1,1,F,1,1,85500.0,665892.0,21609.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.0196889999999999,-13618,-499,-7761.0,-4216,no car,1,1,0,1,blue,3.0,2,WEDNESDAY,16,1,1,1,1,Bank,0.5361242137323939,0.470456116119975,3.0,0.0,-2299.0,1,1.0,0.0964896066190457,0.0,3,3.0,0.0,7854.57,0,697707.0,0.0
103009,0,1,F,1,0,90000.0,269550.0,10264.5,Accompanied,State servant,Incomplete higher,Married,With parents,0.010643,-12004,-1890,-1148.0,-2535,no car,1,1,0,1,white,4.0,2,TUESDAY,18,1,1,1,1,Kindergarten,0.5761490796355392,0.2636468134452008,4.0,0.0,-1748.0,1,2.0,0.0802027552036399,0.0,3,3.0,0.0,24570.0,0,2775087.0,0.0
103072,0,1,F,0,1,90000.0,624289.5,27630.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.028663,-16103,365243,-127.0,-4640,middle,1,1,1,1,other,2.0,2,TUESDAY,9,1,1,1,1,XNA,0.2212559086068051,0.3927738606031339,0.0,0.0,-1231.0,1,4.0,0.079297042482285,0.0,7,7.0,0.0,0.0,0,91245.6,0.0
103204,1,1,F,1,1,135000.0,675000.0,40324.5,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.010032,-15002,-1766,-8880.0,-3887,no car,1,1,1,1,white,1.0,2,SATURDAY,9,1,1,1,1,Self-employed,0.4113570076010797,0.7136313997323308,0.0,0.0,-1023.0,1,9.0,0.1718299840827696,0.0,1,1.0,0.0,6152.67,0,361831.275,0.0
103990,0,1,F,0,1,157500.0,746280.0,58963.5,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.025164,-14790,-1249,-1669.0,-2306,young,1,1,0,1,white,3.0,2,FRIDAY,8,1,1,1,1,Business Entity Type 2,0.3389146657990593,0.5316861425197883,1.0,0.0,-308.0,1,5.0,0.0832455926576184,0.0,10,3.0,0.0,0.0,0,3516535.8,1.0
104028,0,1,F,1,0,202500.0,1695483.0,44856.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.020713,-13107,-3695,-498.0,-4039,no car,1,1,0,1,white,3.0,3,TUESDAY,11,1,1,1,1,Kindergarten,0.2990003145051302,0.1455428133497032,3.0,0.0,-574.0,1,6.0,0.2039405574516496,0.0,1,1.0,0.0,0.0,0,162000.0,0.0
104277,0,1,F,1,1,315000.0,1921797.0,66928.5,Unaccompanied,Working,Lower secondary,Married,House / apartment,0.018801,-18339,-9388,-10323.0,-1843,no car,1,1,0,1,blue,2.0,2,WEDNESDAY,7,1,1,1,1,Medicine,0.1086616802879803,0.6832688314232291,0.0,0.0,-1159.0,1,3.0,0.0379501717945614,1.0,13,4.0,0.0,0.0,0,1350000.0,0.0
104885,0,1,M,0,0,157500.0,191880.0,20664.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.020246,-19997,-1322,-3026.0,-3551,middle,0,1,0,1,blue,2.0,3,MONDAY,10,1,1,1,1,Self-employed,0.5133925735524209,0.3944954053123993,0.0,0.0,-1050.0,0,4.0,0.0946149056430872,0.0,4,1.0,0.0,0.0,0,652500.0,0.0
104927,0,1,F,1,0,126000.0,203760.0,13747.5,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.030755,-12106,-386,-3329.0,-4633,no car,1,1,0,1,white,1.0,2,MONDAY,10,1,1,1,1,Trade: type 7,0.5785982895062953,0.0828147042440649,0.0,0.0,-668.0,1,2.0,0.0896399776459991,0.0,8,2.0,0.0,0.0,0,1498500.0,0.0
105012,0,1,F,1,1,540000.0,906228.0,36067.5,Accompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.025164,-14209,-1372,-537.0,-3603,no car,1,1,0,1,other,3.0,2,WEDNESDAY,13,1,1,1,1,Business Entity Type 3,0.4921138072343789,0.4188542886233217,7.0,0.0,-53.0,1,9.0,0.1019604379932704,0.0,7,5.0,0.0,0.0,0,38864228.94,0.0
105175,0,1,M,1,1,157500.0,269550.0,21739.5,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.009175,-11031,-222,-4253.0,-3618,no car,1,1,0,1,blue,3.0,2,TUESDAY,10,1,1,1,1,Business Entity Type 3,0.5747172999981006,0.5549467685334323,0.0,0.0,-215.0,1,4.0,0.0875033732944597,0.0,10,4.0,0.0,0.0,0,50076.0,0.0
105267,0,0,F,1,1,117000.0,180000.0,9000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.018801,-20123,365243,-8642.0,-348,no car,1,1,1,1,other,2.0,2,SUNDAY,8,1,1,1,1,XNA,0.4505573798320671,0.1014593569914692,0.0,0.0,-1207.0,0,2.0,0.0973474554193566,0.0,2,2.0,0.0,0.0,0,1575000.0,0.0
105453,0,1,F,1,1,270000.0,1125000.0,36292.5,Unaccompanied,Working,Secondary / secondary special,Married,Municipal apartment,0.010006,-14252,-4670,-813.0,-2436,no car,0,1,1,1,other,3.0,2,SATURDAY,9,1,1,1,1,Hotel,0.5608676012164996,0.4365064990977374,0.0,0.0,-1695.0,1,1.0,0.1530044920506876,9.0,9,9.0,0.0,125441.505,0,2993463.0,0.0
105461,0,1,F,1,0,99000.0,314100.0,19111.5,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.009549,-12605,-4925,-11842.0,-2608,no car,1,1,0,1,blue,2.0,2,SUNDAY,15,1,1,1,1,Construction,0.6202081490724913,0.4066174366275036,0.0,0.0,0.0,1,4.0,0.1534473860248622,0.0,2,2.0,0.0,59.715,0,143955.0,1.0
105605,0,1,M,0,1,135000.0,123637.5,9909.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.0105,-15201,-940,-5971.0,-5366,aging,0,1,1,1,blue,2.0,3,TUESDAY,15,1,1,1,1,Industry: type 11,0.3061758945251774,0.4866531565147181,4.0,0.0,-1565.0,1,3.0,0.1181998073723842,0.0,1,1.0,0.0,0.0,0,1919396.07,0.0
105765,0,1,F,1,1,339750.0,545040.0,26640.0,Unaccompanied,Commercial associate,Higher education,Separated,House / apartment,0.006629,-11543,-770,-3958.0,-209,no car,1,1,0,1,white,4.0,2,THURSDAY,9,1,1,0,0,Other,0.4102984058261148,0.2079641743053816,1.0,1.0,-5.0,1,2.0,0.129099912625035,0.0,3,2.0,0.0,4532.445,0,4852575.0,0.0
105919,0,1,M,0,1,180000.0,540000.0,39294.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,With parents,0.010643,-10442,-334,-5317.0,-2857,aging,0,1,1,1,blue,3.0,2,TUESDAY,10,1,0,1,0,Security,0.2095827723213038,0.3474182272002641,0.0,0.0,-295.0,1,3.0,0.0968283835715147,0.0,12,4.0,0.0,0.0,0,144004.5,0.0
105950,0,1,M,1,1,135000.0,770292.0,30676.5,Accompanied,State servant,Secondary / secondary special,Married,Rented apartment,0.018801,-10448,-2323,-214.0,-1818,no car,0,1,0,0,other,2.0,2,SATURDAY,12,1,1,1,0,Transport: type 2,0.3208579375878014,0.4848514754962666,5.0,3.0,0.0,1,3.0,0.0770941610023472,0.0,11,10.0,0.0,3321.0,0,5056022.88,0.0
